solarfield.0.prox_filter_frac ,0.03 ,none ,Proximity filter fraction
solarfield.0.q_des ,670 ,MWt ,Solar field design power
solarfield.0.rad_spacing_method ,No blocking-dense ,none ,Radial spacing method
solarfield.0.rec_area ,1197.7 ,m2 ,Total receiver surface area
solarfield.0.row_spacing_x ,1.1 ,none ,Heliostat spacing factor - X direction
solarfield.0.row_spacing_y ,1.1 ,none ,Heliostat spacing factor - Y direction
solarfield.0.sf_area ,0 ,m2 ,Total solar field area
solarfield.0.shadow_height ,195 ,m ,Tower shadow height
solarfield.0.shadow_width ,16 ,m ,Tower shadow width
solarfield.0.sim_step_data ,[P]1'0'1'0'2.8'0.954... (truncated) ,none ,Data used for design simulations
solarfield.0.slip_plane_blocking ,0.5 ,none ,Allowable blocking in slip plane
solarfield.0.spacing_reset ,1.33 ,none ,Azimuthal spacing reset limit
solarfield.0.sun_az_des ,192.657 ,deg ,Calculated design-point solar azimuth
solarfield.0.sun_az_des_user ,180 ,deg ,Specified design-point solar azimuth
solarfield.0.sun_el_des ,78.3184 ,deg ,Calculated design-point solar elevation
solarfield.0.sun_el_des_user ,85 ,deg ,Specified design-point solar elevation
solarfield.0.sun_loc_des ,Summer solstice ,none ,Sun location at design point
solarfield.0.temp_which , ,none ,Select heliostat geometry
solarfield.0.template_rule ,Use single template , ,Heliostat geometry distribution
solarfield.0.tht ,195 ,m ,Tower optical height
solarfield.0.trans_limit_fact ,1 ,none ,Packing transition limit factor
solarfield.0.version ,SolarPILOT Version: 1.6.0 ,none ,SolarPILOT code base version number
solarfield.0.xy_field_shape ,Hexagon , ,Heliostat field layout shape
solarfield.0.xy_rect_aspect ,1 ,none ,Layout aspect ratio (Y/X)
solarfield.0.zone_div_tol ,0.001 ,none ,Optical layout zone mesh tolerance
